Serial,User ID
1,0000000000000003456
1,0000000000000003457
1,0000000000000003458
1,0000000000000003459
1,0000000000000003460
1,0000000000000003461
1,0000000000000003462
2,0000000000000003463
2,0000000000000003464
2,0000000000000003465
2,0000000000000003466
2,0000000000000003467
2,0000000000000003468
2,0000000000000003469
3,0000000000000003470
3,0000000000000003471
3,0000000000000003472
3,0000000000000003473
3,0000000000000003474
3,0000000000000003475
3,0000000000000003476
4,0000000000000003477
4,0000000000000003478
4,0000000000000003479
4,0000000000000003480
4,0000000000000003481
4,0000000000000003482
4,0000000000000003483
5,0000000000000003484
5,0000000000000003485
5,0000000000000003486
5,0000000000000003487
5,0000000000000003488
5,0000000000000003489
5,0000000000000003490
6,0000000000000003491
6,0000000000000003492
6,0000000000000003493
6,0000000000000003494
6,0000000000000003495
6,0000000000000003496
6,0000000000000003497
7,0000000000000003498
7,0000000000000003499
7,0000000000000003500
7,0000000000000003501
7,0000000000000003502
7,0000000000000003503
7,0000000000000003504
8,0000000000000003505
8,0000000000000003506
8,0000000000000003507
8,0000000000000003508
8,0000000000000003509
8,0000000000000003510
8,0000000000000003511
9,0000000000000003512
9,0000000000000003513
9,0000000000000003514
9,0000000000000003515
9,0000000000000003516
9,0000000000000003517
9,0000000000000003518
10,0000000000000003519
10,0000000000000003520
10,0000000000000003521
10,0000000000000003522
10,0000000000000003523
10,0000000000000003524
10,0000000000000003525
11,0000000000000003526
11,0000000000000003527
11,0000000000000003528
11,0000000000000003529
11,0000000000000003530
11,0000000000000003531
11,0000000000000003532
12,0000000000000003533
12,0000000000000003534
12,0000000000000003535
12,0000000000000003536
12,0000000000000003537
12,0000000000000003538
12,0000000000000003539
13,0000000000000003540
13,0000000000000003541
13,0000000000000003542
13,0000000000000003543
13,0000000000000003544
13,0000000000000003545
13,0000000000000003546
14,0000000000000003547
14,0000000000000003548
14,0000000000000003549
14,0000000000000003550
14,0000000000000003551
14,0000000000000003552
14,0000000000000003553
15,0000000000000003554
15,0000000000000003555
15,0000000000000003556
15,0000000000000003557
15,0000000000000003558
15,0000000000000003559
15,0000000000000003560
16,0000000000000003561
16,0000000000000003562
16,0000000000000003563
16,0000000000000003564
16,0000000000000003565
16,0000000000000003566
16,0000000000000003567
17,0000000000000003568
17,0000000000000003569
17,0000000000000003570
17,0000000000000003571
17,0000000000000003572
17,0000000000000003573
17,0000000000000003574
18,0000000000000003575
18,0000000000000003576
18,0000000000000003577
18,0000000000000003578
18,0000000000000003579
18,0000000000000003580
18,0000000000000003581
19,0000000000000003582
19,0000000000000003583
19,0000000000000003584
19,0000000000000003585
19,0000000000000003586
19,0000000000000003587
19,0000000000000003588
20,0000000000000003589
20,0000000000000003590
20,0000000000000003591
20,0000000000000003592
20,0000000000000003593
20,0000000000000003594
20,0000000000000003595
21,0000000000000003596
21,0000000000000003597
21,0000000000000003598
21,0000000000000003599
21,0000000000000003600
21,0000000000000003601
21,0000000000000003602
22,0000000000000003603
22,0000000000000003604
22,0000000000000003605
22,0000000000000003606
22,0000000000000003607
22,0000000000000003608
22,0000000000000003609
23,0000000000000003610
23,0000000000000003611
23,0000000000000003612
23,0000000000000003613
23,0000000000000003614
23,0000000000000003615
23,0000000000000003616
24,0000000000000003617
24,0000000000000003618
24,0000000000000003619
24,0000000000000003620
24,0000000000000003621
24,0000000000000003622
24,0000000000000003623
25,0000000000000003624
25,0000000000000003625
25,0000000000000003626
25,0000000000000003627
25,0000000000000003628
25,0000000000000003629
25,0000000000000003630
26,0000000000000003631
26,0000000000000003632
26,0000000000000003633
26,0000000000000003634
26,0000000000000003635
26,0000000000000003636
26,0000000000000003637
27,0000000000000003638
27,0000000000000003639
27,0000000000000003640
27,0000000000000003641
27,0000000000000003642
27,0000000000000003643
27,0000000000000003644
28,0000000000000003645
28,0000000000000003646
28,0000000000000003647
28,0000000000000003648
28,0000000000000003649
28,0000000000000003650
28,0000000000000003651
29,0000000000000003652
29,0000000000000003653
29,0000000000000003654
29,0000000000000003655
29,0000000000000003656
29,0000000000000003657
29,0000000000000003658
30,0000000000000003659
30,0000000000000003660
30,0000000000000003661
30,0000000000000003662
30,0000000000000003663
30,0000000000000003664
30,0000000000000003665
31,0000000000000003666
31,0000000000000003667
31,0000000000000003668
31,0000000000000003669
31,0000000000000003670
31,0000000000000003671
31,0000000000000003672
32,0000000000000003673
32,0000000000000003674
32,0000000000000003675
32,0000000000000003676
32,0000000000000003677
32,0000000000000003678
32,0000000000000003679
33,0000000000000003680
33,0000000000000003681
33,0000000000000003682
33,0000000000000003683
33,0000000000000003684
33,0000000000000003685
33,0000000000000003686
34,0000000000000003687
34,0000000000000003688
34,0000000000000003689
34,0000000000000003690
34,0000000000000003691
34,0000000000000003692
34,0000000000000003693
35,0000000000000003694
35,0000000000000003695
35,0000000000000003696
35,0000000000000003697
35,0000000000000003698
35,0000000000000003699
35,0000000000000003700
36,0000000000000003701
36,0000000000000003702
36,0000000000000003703
36,0000000000000003704
36,0000000000000003705
36,0000000000000003706
36,0000000000000003707
37,0000000000000003708
37,0000000000000003709
37,0000000000000003710
37,0000000000000003711
37,0000000000000003712
37,0000000000000003713
37,0000000000000003714
38,0000000000000003715
38,0000000000000003716
38,0000000000000003717
38,0000000000000003718
